Data,Quantidade,Valor,Denominacao,Especie
2019-12-31,"3,191,181,836","R$31,911,818.36",0.01,Moedas
2019-12-31,"6,828,095,109","R$341,404,755.45",0.05,Moedas
2019-12-31,"7,147,023,224","R$714,702,322.40",0.10,Moedas
2019-12-31,"3,125,270,873","R$781,317,718.25",0.25,Moedas
2019-12-31,"3,087,873,412","R$1,543,936,706.00",0.50,Moedas
2019-12-31,"148,733,637","R$148,733,637.00",1.00,Cédulas
2019-12-31,"3,629,592,608","R$3,629,592,608.00",1.00,Moedas
2019-12-31,"1,415,069,046","R$2,830,138,092.00",2.00,Cédulas
2019-12-31,"615,736,844","R$3,078,684,220.00",5.00,Cédulas
2019-12-31,"607,004,357","R$6,070,043,570.00",10.00,Cédulas
2019-12-31,"758,508,897","R$15,170,177,940.00",20.00,Cédulas
2019-12-31,"2,165,295,229","R$108,264,761,450.00",50.00,Cédulas
2019-12-31,"1,380,762,324","R$138,076,232,400.00",100.00,Cédulas
2019-12-30,"3,191,181,836","R$31,911,818.36",0.01,Moedas
2019-12-30,"6,827,886,109","R$341,394,305.45",0.05,Moedas
2019-12-30,"7,146,927,224","R$714,692,722.40",0.10,Moedas
2019-12-30,"3,125,245,873","R$781,311,468.25",0.25,Moedas
2019-12-30,"3,087,594,412","R$1,543,797,206.00",0.50,Moedas
2019-12-30,"148,736,837","R$148,736,837.00",1.00,Cédulas
2019-12-30,"3,629,505,608","R$3,629,505,608.00",1.00,Moedas
2019-12-30,"1,414,399,247","R$2,828,798,494.00",2.00,Cédulas
2019-12-30,"615,358,370","R$3,076,791,850.00",5.00,Cédulas
2019-12-30,"606,226,847","R$6,062,268,470.00",10.00,Cédulas
2019-12-30,"758,344,964","R$15,166,899,280.00",20.00,Cédulas
2019-12-30,"2,163,717,781","R$108,185,889,050.00",50.00,Cédulas
2019-12-30,"1,379,162,500","R$137,916,250,000.00",100.00,Cédulas
2019-12-27,"3,191,181,836","R$31,911,818.36",0.01,Moedas
2019-12-27,"6,826,428,109","R$341,321,405.45",0.05,Moedas
2019-12-27,"7,146,527,224","R$714,652,722.40",0.10,Moedas
2019-12-27,"3,125,077,873","R$781,269,468.25",0.25,Moedas
2019-12-27,"3,085,655,712","R$1,542,827,856.00",0.50,Moedas
2019-12-27,"148,732,987","R$148,732,987.00",1.00,Cédulas
2019-12-27,"3,629,083,108","R$3,629,083,108.00",1.00,Moedas
2019-12-27,"1,413,412,957","R$2,826,825,914.00",2.00,Cédulas
2019-12-27,"615,056,481","R$3,075,282,405.00",5.00,Cédulas
2019-12-27,"605,194,665","R$6,051,946,650.00",10.00,Cédulas
2019-12-27,"755,209,910","R$15,104,198,200.00",20.00,Cédulas
2019-12-27,"2,149,180,615","R$107,459,030,750.00",50.00,Cédulas
2019-12-27,"1,374,063,530","R$137,406,353,000.00",100.00,Cédulas
2019-12-26,"3,191,181,836","R$31,911,818.36",0.01,Moedas
2019-12-26,"6,824,593,109","R$341,229,655.45",0.05,Moedas
2019-12-26,"7,146,030,224","R$714,603,022.40",0.10,Moedas
2019-12-26,"3,124,740,873","R$781,185,218.25",0.25,Moedas
2019-12-26,"3,085,094,712","R$1,542,547,356.00",0.50,Moedas
2019-12-26,"148,734,888","R$148,734,888.00",1.00,Cédulas
2019-12-26,"3,628,452,058","R$3,628,452,058.00",1.00,Moedas
2019-12-26,"1,410,490,517","R$2,820,981,034.00",2.00,Cédulas
2019-12-26,"613,408,957","R$3,067,044,785.00",5.00,Cédulas
2019-12-26,"603,889,916","R$6,038,899,160.00",10.00,Cédulas
2019-12-26,"753,393,270","R$15,067,865,400.00",20.00,Cédulas
2019-12-26,"2,143,530,669","R$107,176,533,450.00",50.00,Cédulas
2019-12-26,"1,369,019,421","R$136,901,942,100.00",100.00,Cédulas
2019-12-24,"3,191,181,836","R$31,911,818.36",0.01,Moedas
